"","City","VictimsCount"
"1","Abbeville, AL",1
"2","Abbeville, LA",1
"3","Aberdeen, MD",1
"4","Abilene, TX",2
"5","Adairsville, GA",1
"6","Addis, LA",1
"7","Adelanto, CA",2
"8","Affton, MO",1
"9","Aiken, SC",2
"10","Ailey, GA",1
"11","Akron, OH",7
"12","Alameda, CA",2
"13","Alamo, TN",1
"14","Albany, CA",1
"15","Albany, GA",2
"16","Albany, NY",1
"17","Albany, OR",1
"18","Albion, MI",1
"19","Albuquerque , NM",9
"20","Alexander City, AL",1
"21","Alexandria, LA",4
"22","Alexandria, VA",3
"23","Allen, TX",2
"24","Allentown, PA",1
"25","Alliance, OH",1
"26","Alorton, IL",1
"27","Alpharetta, GA",1
"28","Altadena, CA",1
"29","Alto, TX",1
"30","Alton, IL",1
"31","Altoona, WI",1
"32","Amherst, VA",1
"33","Amory, MS",1
"34","Anaheim, CA",4
"35","Anchorage, AK",3
"36","Anderson, IN",1
"37","Anderson, SC",2
"38","Andrews, SC",1
"39","Ann Arbor, MI",1
"40","Annapolis, MD",2
"41","Antioch, CA",4
"42","Apple Valley, CA",1
"43","Appleton, WI",2
"44","Arcadia, CA",1
"45","Arcata, CA",1
"46","Archdale, NC",1
"47","Ardmore, OK",1
"48","Ardsley, NY",1
"49","Arlington, TX",9
"50","Arvada, CO",1
"51","Arvonia, VA",1
"52","Asbury Park, NJ",1
"53","Ashburn, GA",1
"54","Asheville, NC",2
"55","Atascocita, TX",2
"56","Athens, AL",1
"57","Athens, CA",1
"58","Athens, GA",3
"59","Atlanta, GA",39
"60","Atlantic City, NJ",5
"61","Atmore, AL",1
"62","Auburn, AL",2
"63","Auburn, WA",1
"64","Augusta, GA",8
"65","Augusta, ME",1
"66","Aurora, CO",13
"67","Aurora, IL",1
"68","Austell, GA",2
"69","Austin, MN",1
"70","Austin, TX",11
"71","Austintown, OH",1
"72","Avon Park, FL",1
"73","Avon, CO",1
"74","Avondale Estates, GA",1
"75","Avondale, AZ",5
"76","Azusa, CA",1
"77","Badin, NC",1
"78","Bahama, NC",1
"79","Bainbridge, GA",1
"80","Baker, LA",1
"81","Bakersfield, CA",5
"82","Balch Springs, TX",1
"83","Baltimore, MD",45
"84","Bangor Charter Township, MI",1
"85","Barstow, CA",3
"86","Bartlesville, OK",1
"87","Bass River, NJ",1
"88","Bassett, VA",1
"89","Bastrop, LA",3
"90","Bastrop, TX",1
"91","Baton Rouge, LA",21
"92","Bay Minette, AL",1
"93","Bay Shore, NY",2
"94","Baytown, TX",3
"95","Beach Park, IL",1
"96","Bear, DE",1
"97","Beaumont, MS",1
"98","Beaumont, TX",2
"99","Beavercreek, OH",1
"100","Beckley, WV",1
"101","Beckville, TX",1
"102","Bedford, VA",1
"103","Belle Glade, FL",1
"104","Belle Isle, FL",1
"105","Belle Plaine, MN",1
"106","Bellefontaine Neighbors, MO",1
"107","Bellefontaine, OH",1
"108","Belleville, IL",2
"109","Bellevue, WA",1
"110","Bellflower, CA",2
"111","Beloit, WI",2
"112","Benbrook, TX",1
"113","Benton Harbor, MI",3
"114","Bentonville, AR",1
"115","Berkeley, CA",1
"116","Berkeley, MO",1
"117","Berlin, NJ",1
"118","Bessemer City, NC",1
"119","Bethel Springs, TN",1
"120","Big Lake, AK",1
"121","Biggs Junction, OR",1
"122","Billings, MT",1
"123","Biloxi, MS",4
"124","Birmingham, AL",14
"125","Bishopville, SC",1
"126","Blacksburg, VA",1
"127","Bleecker, AL",2
"128","Blendon Township, OH",1
"129","Bloomfield Hills, MI",1
"130","Bloomingdale, NJ",1
"131","Blue Island, IL",1
"132","Blue Springs, MO",2
"133","Bluefield, WV",1
"134","Blytheville, AR",2
"135","Boca Raton, FL",2
"136","Boerne, TX",1
"137","Bogalusa, LA",1
"138","Bolivar, TN",1
"139","Bonne Terre, MO",1
"140","Bossier City, LA",1
"141","Boston, MA",9
"142","Braddock Hills, PA",1
"143","Bradenton, FL",4
"144","Braeburn, TX",1
"145","Braintree, MA",2
"146","Brandon, FL",2
"147","Braxton, MS",1
"148","Brazoria, TX",1
"149","Breaux Bridge, LA",1
"150","Bremen , GA",1
"151","Bremerton, WA",1
"152","Brentwood, NY",1
"153","Brick, NJ",1
"154","Bridgeport, CT",2
"155","Bridgeton, NJ",2
"156","Bridgeville, DE",1
"157","Broken Bow, OK",1
"158","Bronx, NY",14
"159","Brookhaven, GA",1
"160","Brooklyn Center, MN",3
"161","Brooklyn, NY",24
"162","Broomfield, CO",1
"163","Broussard, LA",1
"164","Brownsville, TN",1
"165","Brunswick, GA",2
"166","Buena Park, CA",1
"167","Buffalo, NY",4
"168","Buford, GA",1
"169","Bunnell, FL",1
"170","Burien, WA",1
"171","Burlington, IA",1
"172","Burtonsville, MD",1
"173","Butler, GA",1
"174","Cahokia, IL",1
"175","Calhoun, GA",2
"176","Calumet City, IL",1
"177","Calverton, MD",1
"178","Camden, NJ",1
"179","Campobello, SC",1
"180","Canandaigua, NY",1
"181","Canton, GA",1
"182","Canton, MS",3
"183","Canton, OH",3
"184","Cantonment, FL",1
"185","Cape Canaveral, FL",1
"186","Cape Coral, FL",1
"187","Capitol Heights, MD",1
"188","Carencro, LA",1
"189","Carmichael, CA",4
"190","Carol Stream, IL",1
"191","Carrollton, GA",1
"192","Carrollton, TX",1
"193","Cary, NC",1
"194","Casa Grande, AZ",2
"195","Casper, WY",1
"196","Castro Valley, CA",2
"197","Cathedral City, CA",1
"198","Catonsville, MD",2
"199","Cave Spring, VA",1
"200","Cayce, SC",1
"201","Cedar Rapids, IA",3
"202","Center, TX",1
"203","Ceres, CA",1
"204","Cerritos, CA",1
"205","Chalmette, LA",1
"206","Chamblee, GA",3
"207","Champaign, IL",1
"208","Channelview, TX",1
"209","Charleston, SC",8
"210","Charleston, WV",1
"211","Charlotte, NC",23
"212","Charlottesville, VA",1
"213","Chattanooga, TN",4
"214","Chesapeake, VA",3
"215","Chester, PA",5
"216","Chester, SC",1
"217","Chesterfield, MO",1
"218","Chestertown, MD",1
"219","Cheyenne, WY",1
"220","Chicago Heights, IL",1
"221","Chicago, IL",81
"222","Chico, CA",1
"223","Chillicothe, TX",1
"224","Chino, CA",1
