Remove,Duplicated,Tweet.Id,Date,Time,Text,PC,Username,City,NonCity,Memos,Missing,Coder_Initials,PC_Verbs,PC_Subjects,PC_2
0,Unique,1.27E+18,2020-05-28,19:24:48+00:00,"It is our duty to fight for our freedom. 
It is our duty to win. 
We must love each other and protect each other. 
We have nothing to lose but our chains. 
-Assata Shakur",CALLING FOR ACTION,BLM_Nashville,"Nashville, TN",0,"idk if calling for action is the right word here its more abstract *after coding a few more tweets i came back to this one and landed on ""rallying the people"" its still not my favorite",0,AMC,CALLING,FOR ACTION,ENCOURAGING PARTICIPATION
0,Unique,1272232368879947520,2020-06-14,18:20:08,"We aren’t born abolitionists, we struggled and studied to get here. @dereckapurnell",CLAIMING THAT ARRIVING AT AN ABOLITIONIST PERSPECTIVE TAKES TIME,Dreamdefenders,0,1,,0,AS,CLAIMING,THAT ARRIVING AT AN ABOLITIONIST PERSPECTIVE TAKES TIME,ADVOCATING PERSONAL GROWTH
0,Unique,1270106626356199424,2020-06-08,21:33:11,We don't need this long ass explanation on a non-agendized item @BobBlumenfield...We've BEEN saying 54% of the general fund and understand the difference. Stop White-splaining. #PeoplesBudgetLA,CLARIFYING DEMAND,BLMLA,"Los Angeles, CA",0,,0,AS,CLARIFYING,DEMAND,ADVISING OR CRITIQUING WHITE ALLIES
0,Unique,1269548769294667520,2020-06-07,8:36:28,"RT @mercedespandora: RT @NahNotFeelinIt: #BlackLivesMatter is defending a 75 year old white guy while the ""ALL LIVES MATTER"" crowd are defending the cops who shoved him down and concussed him. In case you were wondering who actually believes all lives matter and who just wan…",COMPARING BLACK LIVES MATTER AND ALL LIVES MATTER,blmlasvegas,"Las Vegas, NV",0,,0,AS,COMPARING,BLACK LIVES MATTER AND ALL LIVES MATTER,REDEFINING RACISM
0,Unique,1268998986226184192,2020-06-05,20:11:49,"""We are asking for things to be different going forward. Permanent changes."" @superkwa @FWHC #RJ4BlackLives",DEMANDING CHANGE,SisterSong_WOC,"Atlanta, GA",0,VAGUE DEMAND,0,AS,DEMANDING,CHANGE,IMAGINING FUTURES 
0,Duplicated,1.27E+18,2020-06-11,07:36:23+00:00,RT @Lean4Rip: RT @SimoneGJohnson: #BlackLivesMatter is NOT trend. this is why we can’t let this just become another phase in 2020. keep going &amp; keep demanding justice https://t.co/244vs3Mpuo,DEMANDING JUSTICE,blmlasvegas,"Las Vegas, NV",0,"Nothing notable in this batch, mostly urging followers to continue their efforts in demanding justice.",0,LC,DEMANDING,JUSTICE,ENCOURAGING PARTICIPATION
0,Unique,1268615327681777664,2020-06-04,18:47:18,We filed an action and served your office in March. We are still awaiting your answer.,ACCUSING ELECTED OFFICIAL OF SLOWWALKING POLICE TRANSPARENCY,BALTLegal,"Baltimore, MD",0,,0,AS,ACCUSING,ELECTED OFFICIAL OF SLOWWALKING POLICE TRANSPARENCY,CRITICIZING OFFICIALS
0,Unique,1268693498825490432,2020-06-04,23:57:55,Lies Lies and more Lies https://t.co/hFxU5LeAVw,ACCUSING POLICE OF LYING ABOUT PROTESTERS,BLM_216,"Cleveland, OH",0,,0,AS,ACCUSING,POLICE OF LYING ABOUT PROTESTERS,CONDEMNING POLICE
0,Duplicated,1268523853896200192,2020-06-04,12:43:49,"@MarilynMosbyEsq @NateBrownBrown @MarilynMosbyEsq So you're not releasing public documents? Your release is a sleight of hand, it allows you to narrate your justification and keep what we ask to see.",ACCUSING POLICE OF SECRECY,BALTLegal,"Baltimore, MD",0,,0,AS,ACCUSING,POLICE OF SECRECY,CONDEMNING LOCAL POLICE
0,Duplicated,1268523853896200192,2020-06-04,12:43:49,"@MarilynMosbyEsq @NateBrownBrown @MarilynMosbyEsq So you're not releasing public documents? Your release is a sleight of hand, it allows you to narrate your justification and keep what we ask to see.",ACCUSING POLICE OF SECRECY,BALTLegal,"Baltimore, MD",0,,0,AS,ACCUSING,POLICE OF SECRECY,CONDEMNING LOCAL POLICE
