"","PLACEFIPS","PostGFProtestCount"
"1","0100988",15
"2","0101708",1
"3","0101852",1
"4","0102860",1
"5","0102956",3
"6","0103076",6
"7","0107000",17
"8","0109208",1
"9","0111032",1
"10","0118976",2
"11","0119336",1
"12","0119648",1
"13","0120104",1
"14","0121184",2
"15","0123320",2
"16","0126896",7
"17","0126992",1
"18","0127616",1
"19","0128696",12
"20","0132416",2
"21","0135800",1
"22","0135896",5
"23","0137000",13
"24","0138272",1
"25","0138416",1
"26","0145784",4
"27","0150000",12
"28","0151000",21
"29","0151600",1
"30","0151696",2
"31","0153016",1
"32","0157048",3
"33","0157144",1
"34","0158848",1
"35","0159472",1
"36","0163336",1
"37","0169120",2
"38","0171976",1
"39","0174352",1
"40","0174400",1
"41","0174592",3
"42","0176920",3
"43","0177256",4
"44","0177304",3
"45","0178552",2
"46","0181720",1
"47","0203000",24
"48","0206520",1
"49","0217410",3
"50","0218620",1
"51","0218950",1
"52","0224230",4
"53","0231050",1
"54","0232150",1
"55","0233140",11
"56","0236400",7
"57","0238970",3
"58","0240950",1
"59","0241830",1
"60","0254920",1
"61","0258660",3
"62","0270540",2
"63","0270760",1
"64","0271640",4
"65","0274830",1
"66","0280660",1
"67","0282200",1
"68","0283080",2
"69","0400870",1
"70","0406260",2
"71","0408220",3
"72","0410180",1
"73","0410530",2
"74","0412000",4
"75","0412840",1
"76","0414380",1
"77","0415500",2
"78","0420050",32
"79","0423620",13
"80","0423760",1
"81","0425300",2
"82","0427400",9
"83","0427820",3
"84","0428380",1
"85","0429710",3
"86","0437620",5
"87","0439370",5
"88","0444270",2
"89","0444410",2
"90","0446000",9
"91","0449640",4
"92","0451180",1
"93","0452930",2
"94","0453700",4
"95","0454050",1
"96","0455000",95
"97","0457380",7
"98","0457450",3
"99","0458150",1
"100","0462000",1
"101","0462140",2
"102","0465000",9
"103","0466470",1
"104","0466820",5
"105","0466845",1
"106","0471510",1
"107","0473000",9
"108","0477000",110
"109","0482740",2
"110","0483160",1
"111","0485540",6
"112","0501870",1
"113","0504030",1
"114","0505290",2
"115","0505320",5
"116","0510300",1
"117","0514140",2
"118","0515190",5
"119","0516240",1
"120","0521070",6
"121","0523290",3
"122","0524550",14
"123","0530460",4
"124","0533400",3
"125","0534750",2
"126","0535710",5
"127","0541000",26
"128","0546580",1
"129","0547390",2
"130","0550450",1
"131","0555310",1
"132","0557170",1
"133","0560410",3
"134","0561670",2
"135","0563020",1
"136","0563710",2
"137","0564370",1
"138","0566080",3
"139","0568810",1
"140","0571960",1
"141","0600296",6
"142","0600394",1
"143","0600562",11
"144","0600674",4
"145","0600884",3
"146","0600947",1
"147","0601290",2
"148","0601640",1
"149","0602000",12
"150","0602112",1
"151","0602252",11
"152","0602294",1
"153","0602364",2
"154","0602476",1
"155","0602868",1
"156","0602924",1
"157","0602980",1
"158","0603064",1
"159","0603092",2
"160","0603162",2
"161","0603204",3
"162","0603302",1
"163","0603526",32
"164","0603820",2
"165","0604030",1
"166","0604758",1
"167","0605290",3
"168","0606000",44
"169","0606308",39
"170","0606434",8
"171","0606798",6
"172","0608100",2
"173","0608142",15
"174","0608310",1
"175","0608758",1
"176","0608786",2
"177","0608954",5
"178","0609066",1
"179","0609324",1
"180","0609598",3
"181","0609710",2
"182","0609892",1
"183","0610046",3
"184","0610074",1
"185","0610345",1
"186","0610508",1
"187","0611040",1
"188","0611194",8
"189","0611324",1
"190","0611530",1
"191","0611964",8
"192","0612524",1
"193","0612552",1
"194","0613014",12
"195","0613210",2
"196","0613214",1
"197","0613294",1
"198","0613392",6
"199","0613588",1
"200","0613756",6
"201","0613882",2
"202","0613945",1
"203","0614190",1
"204","0614218",5
"205","0614274",1
"206","0614498",1
"207","0614946",1
"208","0615044",6
"209","0616000",3
"210","0616224",2
"211","0616350",1
"212","0616378",2
"213","0616532",8
"214","0616742",1
"215","0617022",2
"216","0617568",2
"217","0617610",1
"218","0617750",1
"219","0617918",2
"220","0617946",2
"221","0617988",6
"222","0618100",5
"223","0618394",4
"224","0618506",3
"225","0618996",1
"226","0619155",2
"227","0619192",3
"228","0619339",2
"229","0619402",1
"230","0619766",1
"231","0620018",3
"232","0620697",1
"233","0620802",2
"234","0620956",8
"235","0621712",5
"236","0621782",6
"237","0621796",11
"238","0622020",1
"239","0622230",1
"240","0622300",5
"241","0622412",2
"242","0622454",1
"243","0622594",1
"244","0622678",16
"245","0622804",5
"246","0623042",10
"247","0623168",4
"248","0623182",20
"249","0623294",5
"250","0623826",1
"251","0624638",4
"252","0624680",4
"253","0625058",3
"254","0625296",2
"255","0625380",2
"256","0625534",1
"257","0626000",13
"258","0627000",26
"259","0628000",5
"260","0628154",2
"261","0628168",1
"262","0629000",1
"263","0629504",1
"264","0630000",6
"265","0630014",1
"266","0630798",9
"267","0630994",1
"268","0631393",2
"269","0631568",3
"270","0631708",5
"271","0631960",3
"272","0632548",1
"273","0633000",7
"274","0633056",4
"275","0633182",2
"276","0633434",1
"277","0633588",1
"278","0634120",6
"279","0636000",22
"280","0636294",4
"281","0636448",1
"282","0636546",3
"283","0636616",3
"284","0636770",8
"285","0636868",1
"286","0637554",1
"287","0637582",2
"288","0638520",1
"289","0639045",1
"290","0639122",48
"291","0639178",4
"292","0639248",3
"293","0639259",2
"294","0639290",2
"295","0639304",2
"296","0639486",1
"297","0639496",1
"298","0639766",2
"299","0639892",3
"300","0640004",5
"301","0640032",1
"302","0640130",1
"303","0640340",1
"304","0640354",3
"305","0640438",7
"306","0640704",1
"307","0640830",1
"308","0640956",1
"309","0641152",1
"310","0641992",7
"311","0642202",17
"312","0642524",4
"313","0643000",20
"314","0643140",2
"315","0643224",1
"316","0643280",4
"317","0644000",517
"318","0644028",1
"319","0644112",9
"320","0644574",3
"321","0644760",1
"322","0645022",1
"323","0645246",3
"324","0645400",7
"325","0645484",6
"326","0645778",3
"327","0645820",6
"328","0645932",1
"329","0646114",5
"330","0646170",2
"331","0646814",1
"332","0646870",6
"333","0646898",3
"334","0647374",1
"335","0647710",11
"336","0647766",2
"337","0647822",3
"338","0648354",12
"339","0648648",2
"340","0648816",1
"341","0648844",1
"342","0648872",10
"343","0649138",2
"344","0649187",1
"345","0649270",1
"346","0649278",7
"347","0649362",2
"348","0649582",1
"349","0649670",7
"350","0649852",1
"351","0650258",16
"352","0650398",1
"353","0650874",17
"354","0650916",3
"355","0651182",8
"356","0651476",2
"357","0651560",5
"358","0652582",15
"359","0652694",3
"360","0652764",1
"361","0653000",153
"362","0653070",6
"363","0653294",1
"364","0653322",7
"365","0653476",2
"366","0653896",1
"367","0653980",3
"368","0654120",1
"369","0654232",1
"370","0654274",1
"371","0654386",5
"372","0654652",7
"373","0654806",1
"374","0655156",4
"375","0655184",7
"376","0655254",8
"377","0655282",52
"378","0655380",1
"379","0655618",1
"380","0656000",14
"381","0656700",2
"382","0656784",9
"383","0657288",3
"384","0657414",1
"385","0657456",3
"386","0657526",3
"387","0657540",7
"388","0657764",1
"389","0657792",7
"390","0658072",5
"391","0658240",2
"392","0658380",28
"393","0658520",9
"394","0659080",1
"395","0659346",5
"396","0659444",1
"397","0659451",6
"398","0659500",2
"399","0659514",2
"400","0659587",1
"401","0659892",7
"402","0659920",13
"403","0659962",10
"404","0660018",4
"405","0660102",10
"406","0660466",1
"407","0660620",15
"408","0660704",5
"409","0662000",8
"410","0662364",2
"411","0662546",2
"412","0662602",1
"413","0662938",10
"414","0663218",1
"415","0664000",87
"416","0664224",9
"417","0664434",1
"418","0665000",6
"419","0665028",1
"420","0665042",14
"421","0665070",3
"422","0665084",5
"423","0666000",168
"424","0666140",1
"425","0667000",194
"426","0667042",1
"427","0668000",109
"428","0668014",1
"429","0668084",7
"430","0668154",39
"431","0668196",2
"432","0668224",1
"433","0668252",7
"434","0668294",1
"435","0668364",17
"436","0668378",3
"437","0669000",15
"438","0669070",17
"439","0669084",4
"440","0669088",17
"441","0669112",23
"442","0669196",12
"443","0670000",14
"444","0670042",1
"445","0670098",27
"446","0670224",10
"447","0670280",1
"448","0670364",5
"449","0670588",1
"450","0670686",2
"451","0670742",11
"452","0670770",8
"453","0671806",2
"454","0672016",3
"455","0672506",3
"456","0672520",3
"457","0672576",6
"458","0672646",4
"459","0672674",34
"460","0673108",6
"461","0673220",10
"462","0673262",4
"463","0673696",1
"464","0673906",6
"465","0675000",16
"466","0677000",10
