"","City","ProtestCount"
"1","4S Ranch, CA",2
"2","Abbeville, LA",1
"3","Aberdeen, NC",1
"4","Aberdeen, SD",2
"5","Abilene, TX",9
"6","Abingdon, VA",1
"7","Abington, PA",2
"8","Accomac, VA",2
"9","Acton, MA",2
"10","Ada, OK",1
"11","Addison, TX",1
"12","Adrian, MI",2
"13","Agoura Hills, CA",1
"14","Aiken, SC",7
"15","Akron, OH",13
"16","Alameda, CA",8
"17","Alamo Heights, TX",1
"18","Alamogordo, NM",2
"19","Albany, CA",3
"20","Albany, GA",2
"21","Albany, NY",7
"22","Albany, OR",1
"23","Albemarle, NC",2
"24","Albert Lea, MN",1
"25","Albertville, AL",3
"26","Albion, MI",1
"27","Albuqeurque, NM",3
"28","Albuquerque, NM",15
"29","Alburquerque, NM",1
"30","Alcalde, NM",1
"31","Alcoa, TN",2
"32","Aledo, TX",1
"33","Alexandria, IN",2
"34","Alexandria, LA",4
"35","Alexandria, MN",1
"36","Alexandria, VA",5
"37","Algonac, MI",1
"38","Alhambra, CA",1
"39","Alice, TX",1
"40","Aliquippa, PA",1
"41","Allegan, MI",1
"42","Allen Park, MI",1
"43","Allendale, MI",4
"44","Allentown, PA",7
"45","Alliance, OH",1
"46","Alpena, MI",1
"47","Alpharetta, GA",2
"48","Alpine, TX",1
"49","Altadena, CA",2
"50","Altamont, NY",1
"51","Alton, IL",3
"52","Alton, NH",1
"53","Altoona, PA",3
"54","Altus, OK",1
"55","Alva, OK",1
"56","Amarillo, TX",5
"57","Ambler, PA",1
"58","Ambridge, PA",1
"59","Americus, GA",1
"60","Amery, WI",1
"61","Ames, IA",6
"62","Amesbury, MA",1
"63","Amherst, MA",4
"64","Amherst, NY",2
"65","Amherst, OH",1
"66","Amherst, VA",1
"67","Amityville, NY",1
"68","Amory, MS",1
"69","Amsterdam, NY",1
"70","Anacortes, WA",3
"71","Anaheim, CA",4
"72","Anchorage, AK",7
"73","Andalusia, AL",1
"74","Anderson, IN",5
"75","Anderson, OH",1
"76","Anderson, SC",1
"77","Andover Township, NJ",1
"78","Andover, MA",3
"79","Angels Camp, CA",1
"80","Angleton, TX",1
"81","Angola, IN",1
"82","Ann Arbor, MI",9
"83","Anna, IL",1
"84","Annapolis, MD",8
"85","Anniston, AL",2
"86","Annville, PA",1
"87","Anoka, MN",1
"88","Ansonia, CT",2
"89","Antioch, CA",11
"90","Apex, NC",1
"91","Apopka, FL",1
"92","Apple Valley, CA",2
"93","Apple Valley, MN",1
"94","Appleton, WI",3
"95","Appomattox, VA",1
"96","Arcata, CA",1
"97","Ardmore, OK",1
"98","Ardmore, PA",2
"99","Arkadelphia, AR",1
"100","Arlington Heights, IL",2
"101","Arlington, MA",1
"102","Arlington, TX",10
"103","Arlington, VA",9
"104","Arvin, CA",1
"105","Asbury Park, NJ",2
"106","Ashbury Park, NJ",1
"107","Asheboro, NC",2
"108","Asheville, NC",19
"109","Ashfield, MA",1
"110","Ashland, AL",1
"111","Ashland, KY",1
"112","Ashland, OH",55
"113","Ashland, OR",3
"114","Ashland, VA",1
"115","Ashland, WI",3
"116","Ashtabula, OH",1
"117","Aspen, CO",5
"118","Aston, PA",2
"119","Astoria, OR",1
"120","Atchison, KS",1
"121","Athena, OH",1
"122","Athens, AL",2
"123","Athens, GA",30
"124","Athens, OH",5
"125","Athens, TN",1
"126","Atherton, CA",1
"127","Athol, MA",2
"128","Atlanta, GA",29
"129","Atlantic City, NJ",4
"130","Atoka, OK",1
"131","Attleboro, MA",1
"132","Auburn, AL",3
"133","Auburn, CA",2
"134","Auburn, IN",3
"135","Auburn, ME",2
"136","Auburn, NE",2
"137","Auburn, NY",2
"138","Auburn, WA",1
"139","Augusta, GA",7
"140","Augusta, ME",2
"141","Aurora, CO",11
"142","Aurora, IL",1
"143","Austin, TX",37
"144","Auxvasse, MO",1
"145","Avon, CT",1
"146","Avon, OH",1
"147","Avondale Estates, GA",1
"148","Aztec, NM",1
"149","Babylon, NY",2
"150","Bad Axe, MI",2
"151","Bainbridge Island, WA",1
"152","Bainbridge, NY",2
"153","Bakersfield, CA",9
"154","Bala Cynwyd, PA",1
"155","Baldwinsville, NY",1
"156","Bally, PA",1
"157","Baltimore, MD",42
"158","Bandon, OR",3
"159","Bangor, ME",1
"160","Bangor, PA",1
"161","Banks, OR",1
"162","Banning, CA",1
"163","Bar Harbor, ME",3
"164","Barbourville, KY",1
"165","Barnstable, MA",1
"166","Barrington, IL",2
"167","Barrington, RI",3
"168","Barstow, CA",1
"169","Bartlesville, OK",2
"170","Basking Ridge, NJ",2
"171","Bastrop, TX",1
"172","Batavia, IL",1
"173","Batavia, NY",1
"174","Batesville, AR",1
"175","Bath, ME",3
"176","Baton Rouge, LA",11
"177","Battle Creek, MI",2
"178","Bay City, MI",3
"179","Bay Lake, FL",1
"180","Bay Saint Louis, MS",1
"181","Bay Shore, NY",2
"182","Bay Village, OH",2
"183","Bayonne, NJ",1
"184","Baytown, TX",1
"185","Beachwood, OH",1
