"","City","ProtestCount","GEOID","population","BlackPop","BlackPov","Bachelors","Pop25Plus","Masters","ProfDegree","Doctorate","CollegeStudents","CollegeEdTotal","EduRate","BlackPopPct","BlackPovRate","VictimsCountPreGF","VictimsCountPreGFBlack","VictimsCountPreGFHighThreat"
"1","4s ranch, california",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","abbeville, louisiana",1,"2200100",12236,5239,5218,501,8118,373,141,13,339,1028,0.126632175412663,0.428162798300098,0.995991601450659,NA,NA,NA
"3","aberdeen, north carolina",1,"3700160",7595,1338,1310,1307,4956,383,37,16,563,1743,0.351694915254237,0.176168531928901,0.979073243647235,1,NA,1
"4","aberdeen, south dakota",2,"4600100",28225,670,630,3836,18294,1039,316,166,1811,5357,0.292828249699355,0.0237378210806023,0.940298507462687,NA,NA,NA
"5","abilene, texas",9,"4801000",124156,13161,9651,11616,76218,4660,853,761,10178,17890,0.234721456873704,0.106003737233803,0.733302940506041,3,1,2
"6","abingdon, virginia",1,"5100148",7960,179,167,1140,5975,739,194,166,280,2239,0.374728033472803,0.0224874371859296,0.932960893854749,1,NA,NA
"7","abington, pennsylvania",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","accomac, virginia",2,"5100180",479,80,27,53,361,19,13,0,11,85,0.235457063711911,0.167014613778706,0.3375,NA,NA,NA
"9","acton, massachusetts",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ada, oklahoma",1,"4000200",17260,708,632,2019,10566,914,127,167,1985,3227,0.305413590762824,0.0410196987253766,0.892655367231638,3,NA,3
"11","addison, texas",1,"4801240",15302,2153,2153,4421,11690,1544,464,156,728,6585,0.563301967493584,0.140700562018037,1,NA,NA,NA
"12","adrian, michigan",2,"2600440",20572,984,794,1334,12787,702,112,109,2541,2257,0.176507390318292,0.047832004666537,0.806910569105691,NA,NA,NA
"13","agoura hills, california",1,"0600394",20533,504,476,5457,14583,2060,665,498,1002,8680,0.595213604882397,0.0245458530170944,0.944444444444444,NA,NA,NA
"14","aiken, south carolina",7,"4500550",30671,9432,8856,5251,22151,2892,554,452,1987,9149,0.413028757166719,0.307521763229109,0.938931297709924,1,1,1
"15","akron, ohio",13,"3901000",198051,60055,58557,18368,133503,7136,1947,969,13827,28420,0.212879111330832,0.303229976117263,0.975056198484722,5,1,3
"16","alameda, california",8,"0600562",78522,5777,5541,19758,57946,7756,2589,1585,3496,31688,0.546853967486971,0.0735717378569063,0.959148346892851,1,1,1
"17","alamo heights, texas",1,"4801600",8374,125,112,2430,5697,968,611,228,257,4237,0.74372476742145,0.0149271554812515,0.896,NA,NA,NA
"18","alamogordo, new mexico",2,"3501780",31384,1347,1317,2517,21016,1322,153,112,1221,4104,0.195279786829083,0.0429199592148866,0.977728285077951,2,NA,1
"19","albany, california",3,"0600674",19804,591,571,4408,13576,3345,741,1401,935,9895,0.72885975250442,0.0298424560694809,0.966159052453469,NA,NA,NA
"20","albany, georgia",2,"1301052",73478,54630,51695,5185,46112,2608,1002,449,7097,9244,0.200468424705066,0.743487846702414,0.946274940508878,NA,NA,NA
"21","albany, new york",7,"3601000",97478,28209,26416,11569,58964,7997,2126,1659,14326,23351,0.396021301132895,0.289388374812778,0.936438725229537,1,NA,1
"22","albany, oregon",1,"4101000",53521,285,265,6696,36178,2260,535,405,2651,9896,0.273536403339046,0.00532501261187198,0.929824561403509,1,NA,1
"23","albemarle, north carolina",2,"3700680",15980,3845,3771,1449,11061,386,162,14,577,2011,0.181809962932827,0.240613266583229,0.98075422626788,NA,NA,NA
"24","albert lea, minnesota",1,"2700694",17773,281,252,1459,12631,388,162,61,545,2070,0.163882511281767,0.0158104990716255,0.896797153024911,1,NA,1
"25","albertville, alabama",3,"0100988",21541,792,763,1522,13386,437,113,65,647,2137,0.159644404601823,0.0367670953066246,0.963383838383838,1,NA,1
"26","albion, michigan",1,"2600980",8336,2576,2386,483,4592,264,19,70,1575,836,0.18205574912892,0.309021113243762,0.926242236024845,NA,NA,NA
"27","albuquerque, new mexico",18,"3502000",559374,18514,18111,74230,381711,40601,10205,9428,35627,134464,0.352266505288032,0.0330977128003804,0.978232688776061,NA,NA,NA
"28","alburquerque, new mexico",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","alcalde, new mexico",1,"3502070",159,0,0,2,91,3,0,0,0,5,0.0549450549450549,0,NA,NA,NA,NA
"30","alcoa, tennessee",2,"4700540",9561,1053,1053,1105,6342,280,149,78,403,1612,0.254178492589089,0.110134923125196,1,NA,NA,NA
"31","aledo, texas",1,"4801744",4181,15,15,769,2498,279,27,18,187,1093,0.437550040032026,0.00358765845491509,1,NA,NA,NA
"32","alexandria, indiana",2,"1800910",4988,25,12,364,3358,92,20,0,77,476,0.141751042287076,0.00501202886928629,0.48,NA,NA,NA
"33","alexandria, louisiana",4,"2200975",47012,25992,25155,4291,32054,2170,791,553,1830,7805,0.243495351594185,0.552880115715137,0.967797783933518,NA,NA,NA
"34","alexandria, minnesota",1,"2700928",13554,95,74,1674,9328,417,126,87,899,2304,0.246998284734134,0.00700900103290542,0.778947368421053,NA,NA,NA
"35","alexandria, virginia",5,"5101000",157613,34287,33733,35528,119631,27177,8643,4135,6258,75483,0.63096521804549,0.217539162378738,0.983842272581445,1,NA,1
"36","algonac, michigan",1,"2601180",4028,11,3,338,2906,92,12,0,202,442,0.152099105299381,0.00273088381330685,0.272727272727273,NA,NA,NA
"37","alhambra, california",1,"0600884",84647,1894,1794,14953,63207,5264,1371,821,5233,22409,0.35453351685731,0.0223752761468215,0.947201689545935,1,NA,1
"38","alice, texas",1,"4801852",19007,237,185,1314,12188,317,73,56,729,1760,0.144404332129964,0.0124690903351397,0.780590717299578,NA,NA,NA
"39","aliquippa, pennsylvania",1,"4200820",9004,3108,3108,586,6400,158,20,20,370,784,0.1225,0.34517992003554,1,NA,NA,NA
"40","allegan, michigan",1,"2601260",5036,485,461,249,2906,160,10,2,196,421,0.144872677219546,0.096306592533757,0.950515463917526,NA,NA,NA
"41","allen park, michigan",1,"2601380",27216,668,608,3178,19690,1463,172,238,1555,5051,0.256526155408837,0.0245443856554968,0.910179640718563,NA,NA,NA
"42","allendale, michigan",4,"2601340",21672,839,478,2038,7854,641,67,61,8653,2807,0.357397504456328,0.0387135474344777,0.569725864123957,NA,NA,NA
"43","allentown, pennsylvania",7,"4202000",120915,17825,17322,7101,74002,2859,766,564,7896,11290,0.152563444231237,0.147417607410164,0.971781206171108,4,NA,3
"44","alliance, ohio",1,"3901420",21842,1968,1825,1597,13687,804,76,89,2346,2566,0.18747716811573,0.0901016390440436,0.927337398373984,NA,NA,NA
"45","alpena, michigan",1,"2601740",10034,108,60,846,7245,398,67,11,414,1322,0.182470669427191,0.0107634044249552,0.555555555555556,NA,NA,NA
"46","alpharetta, georgia",2,"1301696",65590,7915,7744,18027,44420,10328,1672,726,2705,30753,0.692323277802792,0.120673883213905,0.978395451674037,NA,NA,NA
"47","alpine, texas",1,"4802104",6006,8,2,1122,4279,411,60,68,267,1661,0.388174807197943,0.00133200133200133,0.25,NA,NA,NA
"48","altadena, california",2,"0601290",44850,9944,9878,7649,32859,4711,1306,1231,2197,14897,0.453361331750814,0.221716833890747,0.993362831858407,1,NA,NA
"49","altamont, new york",1,"3601517",1665,22,22,316,1148,223,41,35,78,615,0.535714285714286,0.0132132132132132,1,NA,NA,NA
"50","alton, illinois",3,"1701114",26640,6631,6539,2095,18581,1001,240,125,908,3461,0.186265540067811,0.248911411411411,0.986125772884934,1,NA,1
"51","alton, new hampshire",1,"3300980",252,0,0,65,180,0,0,0,0,65,0.361111111111111,0,NA,NA,NA,NA
"52","altoona, pennsylvania",3,"4202184",43987,1594,1559,3593,30274,1473,145,130,2286,5341,0.176422012287772,0.0362379794030054,0.978042659974906,NA,NA,NA
"53","altus, oklahoma",1,"4001700",18744,1658,1532,1850,11914,941,39,135,866,2965,0.248866879301662,0.0884549722577892,0.92400482509047,NA,NA,NA
"54","alva, oklahoma",1,"4001800",5109,196,149,736,3078,180,15,124,703,1055,0.342755035737492,0.0383636719514582,0.760204081632653,NA,NA,NA
"55","amarillo, texas",5,"4803000",198955,13126,12736,20638,127352,6602,1747,1150,9650,30137,0.236643319303976,0.0659747179010329,0.970287978058815,7,NA,6
"56","ambler, pennsylvania",1,"4202264",6489,751,692,1269,4691,647,75,88,291,2079,0.44318908548284,0.115734319617815,0.921438082556591,NA,NA,NA
"57","ambridge, pennsylvania",1,"4202288",6707,1144,1144,698,4512,166,18,57,303,939,0.20811170212766,0.170568063217534,1,NA,NA,NA
"58","americus, georgia",1,"1302116",15503,10386,9821,880,8889,425,174,138,2145,1617,0.181910226122173,0.6699348513191,0.945599845946466,NA,NA,NA
"59","amery, wisconsin",1,"5501725",2819,25,0,230,2013,92,29,0,72,351,0.174366616989568,0.00886839304717985,0,NA,NA,NA
"60","ames, iowa",6,"1901855",66023,2103,1928,9903,29611,5013,490,3150,25303,18556,0.626659011853703,0.0318525362373718,0.916785544460295,NA,NA,NA
"61","amesbury, massachusetts",1,"2501260",17434,99,99,3234,12633,1608,146,208,688,5196,0.411303728330563,0.00567855913731788,1,NA,NA,NA
"62","amherst, massachusetts",4,"2501360",20409,897,361,916,3762,734,220,497,15081,2367,0.629186602870813,0.043951198000882,0.402452619843924,NA,NA,NA
"63","amherst, new york",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","amherst, ohio",1,"3901798",12108,108,102,1627,8957,597,134,54,441,2412,0.269286591492687,0.0089197224975223,0.944444444444444,NA,NA,NA
"65","amherst, virginia",1,"5101672",2732,559,483,411,2135,131,14,28,56,584,0.273536299765808,0.204612005856515,0.864042933810376,1,1,1
"66","amityville, new york",1,"3602044",9443,1332,1293,1476,6888,832,146,39,380,2493,0.361933797909408,0.141056867520915,0.970720720720721,NA,NA,NA
"67","amory, mississippi",1,"2801260",6932,2166,2118,581,4853,421,20,0,234,1022,0.210591386771069,0.312463935372187,0.977839335180055,NA,NA,NA
"68","amsterdam, new york",1,"3602066",17836,864,847,1164,11917,616,142,34,569,1956,0.164135268943526,0.0484413545638035,0.980324074074074,NA,NA,NA
"69","anacortes, washington",3,"5301990",16977,93,93,3282,12870,1462,339,245,407,5328,0.413986013986014,0.00547799964658067,1,NA,NA,NA
"70","anaheim, california",4,"0602000",349964,9462,9332,41845,229566,11702,3152,1839,25727,58538,0.254994206459145,0.0270370666697146,0.986260832804904,5,1,1
"71","anchorage, alaska",7,"0203000",293531,16341,15669,42593,191870,18242,5893,2554,17170,69282,0.361088236827018,0.0556704402601429,0.958876445749954,7,2,5
"72","andalusia, alabama",1,"0101708",8772,2428,2206,856,6011,360,122,71,213,1409,0.234403593412078,0.276789785681715,0.908566721581549,NA,NA,NA
"73","anderson, indiana",5,"1801468",54513,8054,7744,4028,37272,1465,260,202,2997,5955,0.159771410173857,0.147744574688606,0.961509808790663,NA,NA,NA
"74","anderson, ohio",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","anderson, south carolina",1,"4501360",27289,8315,8077,2848,18095,1017,294,169,2138,4328,0.239182094501243,0.304701528088241,0.971377029464823,1,NA,1
"76","andover, massachusetts",3,"2501430",8914,232,163,1940,5897,1574,257,359,1303,4130,0.700356113277938,0.0260264752075387,0.702586206896552,NA,NA,NA
"77","andover, new jersey",1,"3401330",589,8,8,97,410,24,5,3,71,129,0.314634146341463,0.0135823429541596,1,NA,NA,NA
"78","angels camp, california",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","angleton, texas",1,"4803264",19416,1987,1940,1941,13022,409,45,75,629,2470,0.189679004761173,0.102338277709106,0.976346250629089,2,NA,2
"80","angola, indiana",1,"1801666",8660,98,18,825,5018,452,29,51,1395,1357,0.270426464726983,0.0113163972286374,0.183673469387755,NA,NA,NA
"81","ann arbor, michigan",9,"2603000",120735,8211,7216,20201,66802,17971,4746,7837,29528,50755,0.759782641238286,0.0680084482544416,0.878821093654853,NA,NA,NA
"82","anna, illinois",1,"1701543",4185,187,171,436,3009,172,9,42,107,659,0.219009637753406,0.0446833930704898,0.914438502673797,NA,NA,NA
"83","annapolis, maryland",8,"2401600",39278,8550,8457,6899,27719,4174,1058,964,1806,13095,0.472419639958151,0.217679107897551,0.989122807017544,NA,NA,NA
"84","anniston, alabama",2,"0101852",21688,11281,10980,1714,15265,1106,221,144,660,3185,0.208647232230593,0.520149391368499,0.973317968265225,1,NA,1
"85","annville, pennsylvania",1,"4202608",4973,106,28,356,2507,274,15,24,1652,669,0.266852812126047,0.0213151015483612,0.264150943396226,NA,NA,NA
"86","anoka, minnesota",1,"2701720",17471,1343,1265,2144,12116,696,114,94,791,3048,0.251568174314955,0.0768702421155057,0.941921072226359,NA,NA,NA
"87","ansonia, connecticut",2,"0901150",18802,2842,2842,1780,13451,972,206,93,901,3051,0.226823284514163,0.151154132539092,1,1,NA,1
"88","antioch, california",11,"0602252",111200,23873,23749,10793,72732,3359,725,329,6735,15206,0.209068910520816,0.214685251798561,0.994805847610271,3,1,NA
"89","apex, north carolina",1,"3701520",51370,3352,3321,12742,32913,6642,890,892,2085,21166,0.643089356789111,0.0652520926610862,0.990751789976134,2,NA,2
"90","apopka, florida",1,"1201700",51800,12524,12494,6479,34821,2708,230,164,2462,9581,0.275150053128859,0.241776061776062,0.997604599169594,1,NA,1
"91","apple valley, california",2,"0602364",72726,6437,6316,5024,46320,2510,329,445,3739,8308,0.179360967184801,0.0885102989302313,0.981202423489203,NA,NA,NA
