"","GEOID","NAME","population","BlackPop","BlackPov","Bachelors","Pop25Plus","Masters","ProfDegree","Doctorate","CollegeStudents","PLACEFIPS","ProtestTotal","PostGFProtestCount","VictimsCount","BlackVictimCount","VictimCountPreGF","BlackVictimCountPreGF","VictimsPreGF2020","VictimHighThreat","AntiTrumpProtestPreGFCount","CollegeEdTotal","EduRate","BlackPopPct","BlackPovRate"
"1","2722472","Frazee city, Minnesota",1341,21,21,84,903,22,0,2,11,"2722472",NA,NA,NA,NA,NA,NA,NA,NA,NA,108,0.119601328903654,0.0156599552572707,1
"2","2731076","Inver Grove Heights city, Minnesota",35320,1508,1494,6530,24656,1772,463,158,1465,"2731076",1,NA,NA,NA,NA,NA,NA,NA,1,8923,0.361899740428293,0.0426953567383918,0.990716180371353
"3","2759620","Sherburn city, Minnesota",1033,0,0,74,705,16,3,0,41,"2759620",NA,NA,NA,NA,NA,NA,NA,NA,NA,93,0.131914893617021,0,NA
"4","2708452","Buffalo city, Minnesota",16210,105,63,2518,10427,456,117,130,556,"2708452",NA,NA,NA,NA,NA,NA,NA,NA,NA,3221,0.308909561714779,0.00647748303516348,0.6
"5","2730284","Howard Lake city, Minnesota",1881,48,48,148,1330,36,3,0,3,"2730284",NA,NA,NA,NA,NA,NA,NA,NA,NA,187,0.140601503759399,0.025518341307815,1
"6","2702872","Aurora city, Minnesota",1775,0,0,129,1190,76,12,0,72,"2702872",NA,NA,NA,NA,NA,NA,NA,NA,NA,217,0.182352941176471,0,NA
"7","2706148","Biwabik city, Minnesota",598,0,0,63,456,11,4,4,14,"2706148",NA,NA,NA,NA,NA,NA,NA,NA,NA,82,0.179824561403509,0,NA
"8","2746348","Nisswa city, Minnesota",1817,0,0,400,1298,116,41,17,55,"2746348",NA,NA,NA,NA,NA,NA,NA,NA,NA,574,0.442218798151002,0,NA
"9","2743126","Minneota city, Minnesota",1282,11,11,155,956,36,0,9,45,"2743126",NA,NA,NA,NA,NA,NA,NA,NA,NA,200,0.209205020920502,0.00858034321372855,1
"10","2701864","Appleton city, Minnesota",1412,39,39,152,1021,22,17,0,50,"2701864",NA,NA,NA,NA,NA,NA,NA,NA,NA,191,0.187071498530852,0.0276203966005666,1
