"","X","GEOID","NAME","population","BlackPop","BlackPov","Bachelors","Pop25Plus","Masters","ProfDegree","Doctorate","CollegeStudents","PLACEFIPS","ProtestTotal","PostGFProtestCount","VictimsCount","BlackVictimCount","VictimCountPreGF","BlackVictimCountPreGF","VictimsPreGF2020","VictimHighThreat","AntiTrumpProtestPreGFCount","VictimsPreGF2020Blk","ProtestTotalPreGF","CollegeEdTotal","EduRate","BlackPopPct","BlackPovRate","PoliceDeathsRate","BlackVictimsRate","VictimRaceRatio"
"1",4,2708452,"Buffalo city, Minnesota",16210,105,63,2518,10427,456,117,130,556,2708452,2,2,0,0,0,0,0,0,0,0,2,3221,0.308909561714779,0.00647748303516348,0.6,0,0,NA
"2",13,2706382,"Blaine city, Minnesota",64114,3785,3765,10340,42574,3501,532,470,2517,2706382,4,2,0,0,0,0,0,0,2,0,4,14843,0.348640015032649,0.0590354680724959,0.994715984147952,0,0,NA
"3",18,2769700,"West St. Paul city, Minnesota",19779,1002,990,2922,13988,1013,326,122,856,2769700,2,1,0,0,0,0,0,0,1,0,2,4383,0.313340005719188,0.0506597906870924,0.988023952095808,0,0,NA
"4",25,2715832,"Detroit Lakes city, Minnesota",9197,89,78,1286,6304,350,173,95,351,2715832,6,1,0,0,0,0,0,0,5,0,6,1904,0.302030456852792,0.00967706860932913,0.876404494382023,0,0,NA
"5",29,2624120,"East Lansing city, Michigan",48729,3307,2055,4795,14774,3314,861,1663,28246,2624120,39,8,0,0,0,0,0,0,18,0,39,10633,0.719710301881684,0.0678651316464528,0.621409132143937,0,0,NA
"6",30,2656320,"Muskegon city, Michigan",37633,12035,9883,2281,25098,798,145,32,2419,2656320,16,6,0,0,0,0,0,0,6,0,16,3256,0.129731452705395,0.319799112481067,0.821188201080183,0,0,NA
"7",31,2641680,"Jenison CDP, Michigan",17431,185,185,2460,11757,646,92,142,606,2641680,3,1,0,0,0,0,0,0,2,0,3,3340,0.284086076380029,0.0106132751993575,1,0,0,NA
"8",33,2669420,"Romulus city, Michigan",23527,9570,9516,1833,15062,655,35,74,1225,2669420,5,1,0,0,0,0,0,0,2,0,5,2597,0.172420661266764,0.406766693586093,0.99435736677116,0,0,NA
"9",34,2649640,"Ludington city, Michigan",8069,95,68,819,5712,430,74,49,239,2649640,9,1,0,0,0,0,0,0,5,0,9,1372,0.240196078431373,0.0117734539595985,0.71578947368421,0,0,NA
"10",35,2684000,"Warren city, Michigan",134797,26064,25772,12203,94552,4126,765,413,6648,2684000,13,2,1,1,1,1,0,1,10,0,13,17507,0.185157373720281,0.193357418933656,0.988796807857581,7.41856272765714e-06,7.41856272765714e-06,1
