"","City","ProtestSize"
"1","4S Ranch, CA",243
"2","Abbeville, LA",NA
"3","Aberdeen, NC",NA
"4","Aberdeen, SD",NA
"5","Abilene, TX",NA
"6","Abingdon, VA",NA
"7","Abington, PA",NA
"8","Accomac, VA",NA
"9","Acton, MA",NA
"10","Ada, OK",2000
"11","Addison, TX",NA
"12","Adrian, MI",208.5
"13","Agoura Hills, CA",NA
"14","Aiken, SC",NA
"15","Akron, OH",NA
"16","Alameda, CA",NA
"17","Alamo Heights, TX",300
"18","Alamogordo, NM",NA
"19","Albany, CA",NA
"20","Albany, GA",25
"21","Albany, NY",NA
"22","Albany, OR",600
"23","Albemarle, NC",80
"24","Albert Lea, MN",200
"25","Albertville, AL",NA
"26","Albion, MI",80
"27","Albuqeurque, NM",NA
"28","Albuquerque, NM",NA
"29","Alburquerque, NM",500
"30","Alcalde, NM",NA
"31","Alcoa, TN",137
"32","Aledo, TX",NA
"33","Alexandria, IN",23.5
"34","Alexandria, LA",NA
"35","Alexandria, MN",200
"36","Alexandria, VA",NA
"37","Algonac, MI",10
"38","Alhambra, CA",200
"39","Alice, TX",30
"40","Aliquippa, PA",75
"41","Allegan, MI",100
"42","Allen Park, MI",600
"43","Allendale, MI",NA
"44","Allentown, PA",NA
"45","Alliance, OH",300
"46","Alpena, MI",250
"47","Alpharetta, GA",NA
"48","Alpine, TX",350
"49","Altadena, CA",NA
"50","Altamont, NY",100
"51","Alton, IL",186.666666666667
"52","Alton, NH",7
"53","Altoona, PA",NA
"54","Altus, OK",100
"55","Alva, OK",50
"56","Amarillo, TX",NA
"57","Ambler, PA",300
"58","Ambridge, PA",NA
"59","Americus, GA",200
"60","Amery, WI",30
"61","Ames, IA",NA
"62","Amesbury, MA",350
"63","Amherst, MA",NA
"64","Amherst, NY",NA
"65","Amherst, OH",NA
"66","Amherst, VA",NA
"67","Amityville, NY",NA
"68","Amory, MS",NA
"69","Amsterdam, NY",300
"70","Anacortes, WA",NA
"71","Anaheim, CA",381.25
"72","Anchorage, AK",NA
"73","Andalusia, AL",3
"74","Anderson, IN",NA
"75","Anderson, OH",36
"76","Anderson, SC",500
"77","Andover Township, NJ",100
"78","Andover, MA",NA
"79","Angels Camp, CA",350
"80","Angleton, TX",500
"81","Angola, IN",15
"82","Ann Arbor, MI",NA
"83","Anna, IL",150
"84","Annapolis, MD",NA
"85","Anniston, AL",NA
"86","Annville, PA",NA
"87","Anoka, MN",100
"88","Ansonia, CT",NA
"89","Antioch, CA",NA
"90","Apex, NC",NA
"91","Apopka, FL",NA
"92","Apple Valley, CA",NA
"93","Apple Valley, MN",2
"94","Appleton, WI",NA
"95","Appomattox, VA",NA
"96","Arcata, CA",450
"97","Ardmore, OK",150
"98","Ardmore, PA",NA
"99","Arkadelphia, AR",200
"100","Arlington Heights, IL",275
"101","Arlington, MA",300
"102","Arlington, TX",NA
"103","Arlington, VA",NA
"104","Arvin, CA",45
"105","Asbury Park, NJ",NA
"106","Ashbury Park, NJ",NA
"107","Asheboro, NC",NA
"108","Asheville, NC",NA
"109","Ashfield, MA",300
"110","Ashland, AL",NA
"111","Ashland, KY",NA
"112","Ashland, OH",NA
"113","Ashland, OR",200
"114","Ashland, VA",NA
"115","Ashland, WI",106
"116","Ashtabula, OH",NA
"117","Aspen, CO",105
"118","Aston, PA",NA
"119","Astoria, OR",NA
"120","Atchison, KS",250
"121","Athena, OH",24
"122","Athens, AL",NA
"123","Athens, GA",NA
"124","Athens, OH",106.4
"125","Athens, TN",200
"126","Atherton, CA",NA
"127","Athol, MA",35
"128","Atlanta, GA",NA
"129","Atlantic City, NJ",NA
"130","Atoka, OK",NA
"131","Attleboro, MA",200
"132","Auburn, AL",NA
"133","Auburn, CA",312.5
"134","Auburn, IN",NA
"135","Auburn, ME",NA
"136","Auburn, NE",NA
"137","Auburn, NY",NA
"138","Auburn, WA",NA
"139","Augusta, GA",NA
"140","Augusta, ME",762
"141","Aurora, CO",NA
"142","Aurora, IL",200
"143","Austin, TX",NA
"144","Auxvasse, MO",36
"145","Avon, CT",NA
"146","Avon, OH",200
"147","Avondale Estates, GA",NA
"148","Aztec, NM",NA
"149","Babylon, NY",NA
"150","Bad Axe, MI",101.5
"151","Bainbridge Island, WA",NA
"152","Bainbridge, NY",68
"153","Bakersfield, CA",NA
"154","Bala Cynwyd, PA",70
"155","Baldwinsville, NY",75
"156","Bally, PA",60
"157","Baltimore, MD",NA
"158","Bandon, OR",NA
"159","Bangor, ME",400
"160","Bangor, PA",62
"161","Banks, OR",200
"162","Banning, CA",100
"163","Bar Harbor, ME",NA
"164","Barbourville, KY",100
"165","Barnstable, MA",250
"166","Barrington, IL",200
"167","Barrington, RI",NA
"168","Barstow, CA",12
"169","Bartlesville, OK",NA
"170","Basking Ridge, NJ",NA
"171","Bastrop, TX",NA
"172","Batavia, IL",200
"173","Batavia, NY",11
"174","Batesville, AR",275
"175","Bath, ME",42.6666666666667
"176","Baton Rouge, LA",NA
"177","Battle Creek, MI",200
"178","Bay City, MI",NA
"179","Bay Lake, FL",NA
"180","Bay Saint Louis, MS",100
"181","Bay Shore, NY",NA
"182","Bay Village, OH",100.5
"183","Bayonne, NJ",200
"184","Baytown, TX",150
"185","Beachwood, OH",1000
"186","Beacon, NY",NA
"187","Beardstown, IL",50
"188","Beatrice, NE",NA
"189","Beaufort, NC",NA
"190","Beaufort, SC",NA
"191","Beaumont, TX",NA
"192","Beaver Dam, WI",24
"193","Beaver Falls, PA",133.333333333333
"194","Beaver, PA",NA
"195","Beavercreek, OH",NA
"196","Beaverton, LA",18
"197","Beaverton, OR",NA
"198","Becinia, CA",183
"199","Beckley, WV",NA
"200","Bedford, IN",51.5
"201","Bedford, PA",35
"202","Bedford, VA",100
"203","Bedminster, NJ",100
"204","Beecher, MI",100
"205","Bel Air, MD",175
"206","Belchertown, MA",55
"207","Belfast, ME",NA
"208","Bellbrook, OH",200
"209","Belle Chasse, LA",NA
"210","Belle Fourche, SD",NA
"211","Bellefonte, PA",65
"212","Belleville, FL",62
"213","Belleville, IL",NA
