"","City","VictimsCount"
"1"," Monterey Township, MI",1
"2"," PRESQUE ISLE, ME",1
"3","Abbeville, AL",1
"4","Abbeville, CO",1
"5","Abbeville, LA",1
"6","Abbeville, SC",1
"7","Aberdeen, MD",1
"8","Aberdeen, NC",1
"9","Aberdeen, WA",1
"10","Abilene, TX",10
"11","Abingdon, MD",1
"12","Abingdon, VA",1
"13","Abita Springs, LA",1
"14","Acworth, GA",4
"15","Ada, OK",4
"16","Adairsville, GA",2
"17","Adams, OR",1
"18","Addis, LA",2
"19","Addison, TX",1
"20","Adel, GA",2
"21","Adelanto, CA",3
"22","Adolphus, KY",1
"23","Adrian, MO",1
"24","Affton, MO",3
"25","Afton, VA",1
"26","Aguanga, CA",2
"27","Aiea, HI",1
"28","Aiken, SC",7
"29","Ailey, GA",1
"30","Aitkin, MN",1
"31","Akron, OH",15
"32","Alameda, CA",3
"33","Alamo Heights, TX",1
"34","Alamo, GA",1
"35","Alamo, TN",2
"36","Alamogordo, NM",4
"37","Alamosa, CO",3
"38","Albany, CA",1
"39","Albany, GA",2
"40","Albany, KY",1
"41","Albany, NY",2
"42","Albany, OR",2
"43","Albany, TX",1
"44","Albermarle, NC",1
"45","Albert Lea, MN",1
"46","Albertville, AL",2
"47","Albion, MI",1
"48","Albuquerque , NM",100
"49","Aldie, VA",1
"50","Alexander City, AL",1
"51","Alexandria, LA",5
"52","Alexandria, MN",1
"53","Alexandria, OH",1
"54","Alexandria, VA",6
"55","Alford , FL",1
"56","Algona, WA",1
"57","Alhambra, CA",3
"58","Alice, TX",1
"59","Alleghany, NC",1
"60","Allen, OK",1
"61","Allen, TX",4
"62","Allendale Charter Township, MI",1
"63","Allenhurst , GA",1
"64","Allentown, PA",8
"65","Alliance, OH",2
"66","Alma, KY",1
"67","Aloha, OR",2
"68","Alorton, IL",1
"69","Alpharetta, GA",2
"70","Alpine, CA",2
"71","Alta Sierra, CA",1
"72","Altadena, CA",3
"73","Altamonte Springs, FL",2
"74","Alto, GA",2
"75","Alto, TX",1
"76","Alton, IL",3
"77","Alton, MO",1
"78","Altoona, IA",2
"79","Altoona, PA",1
"80","Altoona, WI",1
"81","Altus, OK",1
"82","Alvarado, TX",2
"83","Alvin, TX",1
"84","Alvo, NE",1
"85","Amarillo, TX",25
"86","Amberg, WI",1
"87","Amelia Court House, VA",1
"88","Amelia Courthouse, VA",1
"89","American Canyon, CA",1
"90","American Fork, UT",1
"91","Americus, GA",1
"92","Ames, IA",1
"93","Amherst, VA",3
"94","Amite, LA",1
"95","Amity, MO",1
"96","Amity, OR",1
"97","Ammon, ID",1
"98","Amory, MS",1
"99","Anadarko, OK",4
"100","Anaheim, CA",22
"101","Anchor Point, AK",1
"102","Anchorage, AK",20
"103","Anderson, CA",4
"104","Anderson, IN",2
"105","Anderson, SC",8
"106","Andrews, SC",1
"107","Andrews, TX",1
"108","Angel Fire, NM",1
"109","Angleton, TX",2
"110","Angola, IN",1
"111","Aniak, AK",1
"112","Ankeny, IA",2
"113","Anmoore, WV",1
"114","Ann Arbor, MI",1
"115","Annapolis, MD",2
"116","Anniston, AL",2
"117","Ansonia, CT",2
"118","Antelope, CA",1
"119","Anthony, TX",1
"120","Antigo, WI",1
"121","Antioch, CA",10
"122","Antioch, IL",1
"123","Antioch, TN",1
"124","Antlers, OK",1
"125","Apache Junction, AZ",5
"126","Apache, AZ",1
"127","Apex, NC",3
"128","Apopka, FL",1
"129","Appalachia, VA",1
"130","Apple Creek, OH",1
"131","Apple Valley, CA",5
"132","Appleton, WI",6
"133","Arab, AL",1
"134","Aragon, GA",1
"135","Aransas Pass, TX",3
"136","Ararat, NC",1
"137","Arcadia, CA",1
"138","Arcadia, FL",1
"139","Arcata, CA",2
"140","Archdale, NC",2
"141","Arcola, IL",1
"142","Ardmore, OK",2
"143","Ardsley, NY",1
"144","Arietta, NY",1
"145","Arivaca, AZ",1
"146","Arkoma, OK",1
"147","Arlington Heights, IL",1
"148","Arlington, GA",1
"149","Arlington, TN",1
"150","Arlington, TX",21
"151","Arlington, VA",3
"152","Arnold, NE",1
"153","Arpin, WI",1
"154","Artesia, CA",1
"155","Artesia, NM",2
"156","Arundel, ME",1
"157","Arvada, CO",11
"158","Arvin, CA",2
"159","Arvonia, VA",1
"160","Asbury Park, NJ",3
"161","Asbury, MO",1
"162","Ashburn, GA",1
"163","Asheboro, NC",1
"164","Asheville, NC",5
"165","Ashford, AL",1
"166","Ashland, CA",1
"167","Ashland, MA",1
"168","Ashland, OR",1
"169","Ashland, WI",2
"170","Ashtabula, OH",3
"171","Ashville, AL",1
"172","Ashville, OH",1
"173","Aspen Hill, MD",1
"174","Assaria, KS",1
"175","Atascadero, CA",1
"176","Atascocita, TX",2
"177","Atchison, KS",1
"178","Athena, OR",1
"179","Athens, AL",2
"180","Athens, CA",1
"181","Athens, GA",12
"182","Atkins, AR",3
"183","Atlanta, GA",51
"184","Atlantic City, NJ",5
"185","Atmore, AL",1
"186","Attica, KS",1
"187","Atwater, CA",4
"188","Atwood, TN",1
"189","Auburn, AL",2
"190","Auburn, CA",4
"191","Auburn, GA",1
"192","Auburn, MA",1
"193","Auburn, ME",3
"194","Auburn, NY",2
"195","Auburn, WA",9
"196","Auburndale, FL",5
"197","Augusta, GA",10
"198","Augusta, ME",2
"199","Augusta, WV",1
"200","Aurora, CO",33
"201","Aurora, IL",3
"202","Aurora, MO",1
"203","Austell, GA",3
"204","Austin, AR",2
"205","Austin, MN",2
"206","Austin, TX",59
"207","Austintown, OH",1
"208","Autreyville, GA",1
"209","Ava , MO",1
"210","Avalon Park, FL",1
"211","Avella, PA",1
"212","Avenal, CA",1
"213","Avon Park, FL",3
"214","Avon, CO",1
"215","Avon, IN",1
"216","Avondale Estates, GA",1
"217","Avondale, AZ",10
"218","Azle, TX",4
"219","Aztec, NM",2
"220","Azusa, CA",7
"221","Backus, MN",1
