"","City","VictimsCount"
"1"," Monterey Township, MI",1
"2"," PRESQUE ISLE, ME",1
"3","Abbeville, AL",1
"4","Abbeville, CO",1
"5","Abbeville, LA",1
"6","Aberdeen, MD",1
"7","Aberdeen, NC",1
"8","Aberdeen, WA",1
"9","Abilene, TX",9
"10","Abingdon, MD",1
"11","Abita Springs, LA",1
"12","Acworth, GA",4
"13","Ada, OK",4
"14","Adairsville, GA",2
"15","Addis, LA",1
"16","Adel, GA",2
"17","Adelanto, CA",2
"18","Adolphus, KY",1
"19","Adrian, MO",1
"20","Affton, MO",2
"21","Afton, VA",1
"22","Aguanga, CA",2
"23","Aiken, SC",4
"24","Ailey, GA",1
"25","Aitkin, MN",1
"26","Akron, OH",4
"27","Alameda, CA",1
"28","Alamo, GA",1
"29","Alamo, TN",1
"30","Alamogordo, NM",3
"31","Alamosa, CO",2
"32","Albany, CA",1
"33","Albany, GA",2
"34","Albany, KY",1
"35","Albany, NY",1
"36","Albany, OR",2
"37","Albany, TX",1
"38","Albermarle, NC",1
"39","Albert Lea, MN",1
"40","Albertville, AL",2
"41","Albion, MI",1
"42","Albuquerque , NM",79
"43","Alexander City, AL",1
"44","Alexandria, LA",4
"45","Alexandria, VA",5
"46","Alford , FL",1
"47","Algona, WA",1
"48","Alhambra, CA",3
"49","Alice, TX",1
"50","Alleghany, NC",1
"51","Allen, OK",1
"52","Allen, TX",4
"53","Allendale Charter Township, MI",1
"54","Allentown, PA",7
"55","Alliance, OH",2
"56","Alma, KY",1
"57","Alpharetta, GA",2
"58","Alta Sierra, CA",1
"59","Altadena, CA",2
"60","Altamonte Springs, FL",1
"61","Alto, TX",1
"62","Alton, IL",3
"63","Altus, OK",1
"64","Alvarado, TX",2
"65","Alvin, TX",1
"66","Amarillo, TX",22
"67","Amelia Court House, VA",1
"68","Amelia Courthouse, VA",1
"69","American Canyon, CA",1
"70","American Fork, UT",1
"71","Americus, GA",1
"72","Ames, IA",1
"73","Amherst, VA",2
"74","Amity, MO",1
"75","Ammon, ID",1
"76","Amory, MS",1
"77","Anadarko, OK",3
"78","Anaheim, CA",11
"79","Anchor Point, AK",1
"80","Anchorage, AK",16
"81","Anderson, CA",3
"82","Anderson, IN",2
"83","Anderson, SC",7
"84","Andrews, SC",1
"85","Andrews, TX",1
"86","Angleton, TX",2
"87","Angola, IN",1
"88","Aniak, AK",1
"89","Ankeny, IA",2
"90","Anmoore, WV",1
"91","Ann Arbor, MI",1
"92","Annapolis, MD",1
"93","Anniston, AL",2
"94","Ansonia, CT",2
"95","Anthony, TX",1
"96","Antigo, WI",1
"97","Antioch, CA",2
"98","Antioch, IL",1
"99","Antioch, TN",1
"100","Apache Junction, AZ",3
"101","Apex, NC",3
"102","Apopka, FL",1
"103","Appalachia, VA",1
"104","Apple Valley, CA",4
"105","Appleton, WI",3
"106","Arab, AL",1
"107","Aragon, GA",1
"108","Aransas Pass, TX",3
"109","Arcadia, CA",1
"110","Arcadia, FL",1
"111","Arcata, CA",2
"112","Archdale, NC",2
"113","Arcola, IL",1
"114","Ardmore, OK",2
"115","Ardsley, NY",1
"116","Arietta, NY",1
"117","Arkoma, OK",1
"118","Arlington Heights, IL",1
"119","Arlington, TX",17
"120","Arlington, VA",3
"121","Arpin, WI",1
"122","Artesia, CA",1
"123","Artesia, NM",1
"124","Arvada, CO",7
"125","Arvonia, VA",1
"126","Ashburn, GA",1
"127","Asheboro, NC",1
"128","Asheville, NC",3
"129","Ashford, AL",1
"130","Ashland, CA",1
"131","Ashtabula, OH",2
"132","Ashville, AL",1
"133","Ashville, OH",1
"134","Aspen Hill, MD",1
"135","Assaria, KS",1
"136","Atascocita, TX",1
"137","Atchison, KS",1
"138","Athens, AL",2
"139","Athens, CA",1
"140","Athens, GA",8
"141","Atkins, AR",2
"142","Atlanta, GA",32
"143","Atlantic City, NJ",3
"144","Attica, KS",1
"145","Atwater, CA",3
"146","Atwood, TN",1
"147","Auburn, AL",1
"148","Auburn, CA",4
"149","Auburn, GA",1
"150","Auburn, MA",1
"151","Auburn, ME",2
"152","Auburn, NY",2
"153","Auburn, WA",5
"154","Auburndale, FL",5
"155","Augusta, GA",6
"156","Augusta, ME",1
"157","Aurora, CO",21
"158","Aurora, IL",3
"159","Aurora, MO",1
"160","Austell, GA",3
"161","Austin, AR",1
"162","Austin, MN",1
"163","Austin, TX",42
"164","Ava , MO",1
"165","Avalon Park, FL",1
"166","Avella, PA",1
"167","Avenal, CA",1
"168","Avon Park, FL",2
"169","Avon, CO",1
"170","Avondale, AZ",7
"171","Azle, TX",4
"172","Azusa, CA",4
"173","Badin, NC",1
"174","Bahama, NC",1
"175","Bailey, CO",1
"176","Bainbridge Island, WA",1
"177","Bainbridge, GA",1
"178","Baker, CA",1
"179","Baker, LA",1
"180","Bakersfield, CA",36
"181","Balcones Heights, TX",1
"182","Ballantine, MT",1
"183","Ballard, UT",1
"184","Baltimore, MD",34
"185","Bandon, OR",1
"186","Bangor Charter Township, MI",1
"187","Bangor, ME",1
"188","Banning, CA",2
"189","Barberton, OH",2
"190","Barberville, FL",1
"191","Barbourville, KY",1
"192","Bardstown, KY",1
"193","Bardwell, KY",1
"194","Barnesville, GA",1
"195","Barrow, AK",1
"196","Barstow, CA",7
"197","Bartlesville, OK",2
"198","Bartow, FL",1
"199","Bascom, FL",1
"200","Basin, WY",2
"201","Bassett, VA",1
"202","Bastrop, LA",1
"203","Bastrop, TX",1
"204","Batavia Township, IL",1
"205","Batesville, AR",1
"206","Batesville, IN",1
"207","Bath, MI",1
"208","Baton Rouge, LA",16
"209","Battle Creek, MI",4
"210","Bay City, MI",1
"211","Bay City, TX",1
"212","Bay Minette, AL",2
"213","Bay Shore, NY",1
"214","Bay St. Louis, MS",2
"215","Bayonet Point, FL",1
"216","Baytown, TX",4
"217","Beach Park, IL",1
"218","Bear Valley Springs, CA",1
