"","date","City","issues","actors","claims","valence","size_low","size_high","size_mean","fips_code","GEOID","population","BlackPop","BlackPov","Bachelors","Pop25Plus","Masters","ProfDegree","Doctorate","CollegeStudents"
"1","2020-03-01","selma, alabama","civil rights; racism","general protesters","in commemoration of Bloody Sunday, for civil rights, for racial justice",1,2000,2000,2000,1047,"0169120",18276,15036,14727,1120,11781,697,139,79,872
"2","2020-03-01","bossier, louisiana","lgbtqia; racism","LGBTQ activists","opposed to LGBTQ discrimination",1,24,24,24,22015,"2208920",68248,19034,18377,6604,44302,3097,314,138,3234
"3","2020-03-01","minneapolis, minnesota","criminal justice; presidency; racism","general protestors","against Amy Klobuchar for U.S. president, against Klobuchar's prosecution of Black teenager for murder, against racism in criminal justice system",1,24,24,24,27053,"2743000",420324,80664,78301,85202,280424,38007,11244,7010,37317
"4","2020-03-02","los angeles, california","judiciary; policing; racism","Black Lives Matter activists","against police brutality, for police accountability, against racism against district attorney Jackie Lacey",1,30,30,30,6037,"0644000",3966936,354169,344609,619287,2738015,208695,76566,37917,287690
"5","2020-03-04","los angeles, california","judiciary; policing; racism","Black Lives Matter LA","against police brutality, for police accountability, against racism, against District Attorney Jackie Lacey",1,NA,NA,NA,6037,"0644000",3966936,354169,344609,619287,2738015,208695,76566,37917,287690
"6","2020-03-05","boston, massachusetts","indigenous peoples; racism","Black and Native American groups","for renaming Faneuil Hall after Crispus Attucks, for changing state flag and seal, against racism, for native peoples' rights",1,NA,NA,NA,25025,"2507000",684379,172651,168762,128045,473775,68687,22563,16331,74170
"7","2020-03-05","saint paul, minnesota","presidency; racism","Anti-War Committee; Climate Justice Committee","anti-Mike Pence; anti-bigotry",1,NA,NA,NA,27123,"2758000",304547,48996,48202,46719,193572,21068,5900,5263,22412
"8","2020-03-05","syracuse, new york","education; racism; religion","Faculty Action Collective","in solidarity with #NotAgainSU, against racism and homophobia and antisemitism at Syracuse University, for resignation of university leadership",1,100,100,100,36067,"3673000",142874,42863,41010,13210,86859,7854,1919,1696,19215
"9","2020-03-06","washington, district of columbia","housing; presidency; racism","Housing Justice National Platform","against President Trump's efforts to dismantle affordable housing protections and attacks on low-income people and communities of color, for housing justice, against racism",1,100,100,100,11001,"1150000",692683,320811,308905,122380,494116,104526,41447,20906,47539
"10","2020-03-06","hilo, hawaii","military; racism; religion","Malu 'Aina","in mourning for all victims of violence, against war, in defense of civil liberties, against anti-Islamic and anti-Semitic and anti-Hawaiian and all other forms of discrimination, for peace through justice in Hawai'i and around the world",0,NA,NA,NA,15001,"1514650",45056,345,333,7275,31100,2064,541,851,3136
"11","2020-03-07","south bend, indiana","policing; racism","Faith in Indiana","for police accountability, against police violence, for justice for Eric Logan, against racism",1,NA,NA,NA,18141,"1871000",102037,27155,26550,9408,63560,4565,1084,1295,5247
"12","2020-03-07","chapel hill, north carolina","democracy; education; racism","retired police officer","against removal of Confederate statue on University of North Carolina campus, against communism and anarchism",2,1,1,1,37135,"3711800",60998,6640,5463,9032,31419,7482,3221,4434,17419
"13","2020-03-07","chapel hill, north carolina","education; racism","students","for removal of Confederate statue on University of North Carolina campus, against racism",1,40,40,40,37135,"3711800",60998,6640,5463,9032,31419,7482,3221,4434,17419
"14","2020-03-07","catskill, new york","lgbtqia; racism","community members","for diversity and inclusion, against racism, for LGBTQ+ equity",1,50,50,50,36039,"3613002",3846,866,854,424,2898,130,45,17,74
"15","2020-03-08","san diego, california","criminal justice; economy; policing; racism; women's rights","Black women","for women's rights, for Black women's empowerment, against police brutality, for decarceration, for economic justice",1,200,200,200,6073,"0666000",1409573,90095,86394,262063,970333,118071,36321,29290,121244
"16","2020-03-10","raleigh, north carolina","policing; racism","general protestors","against racism, against police brutality",1,200,200,200,37183,"3755000",464485,134751,129501,99632,307687,40246,9634,7085,38334
"17","2020-03-11","los angeles, california","judiciary; policing; racism","Black Lives Matter LA","against police brutality, for police accountability, against racism, against District Attorney Jackie Lacey",1,NA,NA,NA,6037,"0644000",3966936,354169,344609,619287,2738015,208695,76566,37917,287690
"18","2020-03-12","portland, oregon","policing; racism","","for justice for Keaton Otis, against police brutality, for police accountability, against racism",1,NA,NA,NA,41051,"4159000",645291,37456,36712,144129,478991,66042,19836,11610,39283
