"","date","City","issues","actors","claims","valence","size_low","size_high","size_mean","fips_code","GEOID","population","BlackPop","BlackPov","Bachelors","Pop25Plus","Masters","ProfDegree","Doctorate","CollegeStudents"
"63",2017-03-18,"steven's point, wisconsin","racism","Sisterhood of Portage County","for social justice; against hate crimes",1,100,100,100,55097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",2017-04-08,"ny, new york","racism","Change Through Action","show solidarity within the community in opposition to the spread of hate and prejudice",1,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",2017-04-10,"winston-salem, south carolina","education; racism; women's rights","general protestors","saying the school fosters a culture of racism, sexism and elitism; demanding diversity training",0,100,100,100,37067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",2017-04-12,"norwell, massachusetts","military; racism; religion","general protestors","peace rally in response to spray-painted swastikas; against hate",1,30,30,30,25023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202",2017-06-18,"saint anthony, minnesota","policing; racism","BLM St. Paul; New North; community members","against police brutality, against racism, Black Lives Matter, Protest Yanez-Castille verdict",0,100,300,200,27053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",2017-07-03,"maplewood, new jersey","racism","general protestors","Protesting the secrecy around dashcam footage in a case of alleged racial profiling",0,NA,NA,NA,34013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263",2017-08-11,"charlotesville, virginia","democracy; racism","students","against white supremacy, against fascism",1,NA,NA,NA,51540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279",2017-08-12,"san anotinio, texas","racism","general protestors","Rally to remove confederate statues",1,200,200,200,48029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327",2017-08-13,"lewisburg, maine","racism","general protestors","Protesting violence/racism in Charlottesville",1,100,100,100,23001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340",2017-08-13,"fayettesville, north carolina","racism","Cape Fear Indivisible","Protesting violence/racism in Charlottesville",1,68,68,68,37051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"397",2017-08-15,"green bay, michigan","military; racism","organziers Loren Prince and Tree Janzen","We Believe in Peace; condemn white supremacist violence",1,75,75,75,55009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410",2017-08-16,"concord, massachusetts","racism","general protestors","Vigil Against Hate in the wake of Charlottesville violence",1,NA,NA,NA,25017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411",2017-08-16,"middleboro, massachusetts","racism","First Unitarian Universalist Society of Middleboro","Middleboro Against Hate",1,25,50,38,25023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414",2017-08-16,"galloway, new jersey","racism","Unitarian Universalist Congregation","Rally to Resist White Supremacy",1,NA,NA,NA,34001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429",2017-08-17,"johnsontown, pennsylvania","racism","Unity Coalition of the Southern Alleghenies","Solidarity with Charlottesville: Johnstown United Against Hate",1,NA,NA,NA,42021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438",2017-08-18,"daytona, florida","racism","Indivisible Volusia","United Against Hate",1,100,100,100,12127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"461",2017-08-19,"venice, california","labor; racism","general protestors","Counter-protest the alt-right's (planned) rally to protest the firing of a Google employee",1,NA,NA,NA,6037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"478",2017-08-19,"muskegon  heights, michigan","racism","organizer Eddie Sanders Jr.","rally in hopes of closing the racial divide",1,50,100,75,26121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"487",2017-08-19,"bedminister, new jersey","racism","Indivisible New Jersey","No Hate in the Garden State",1,24,24,24,34035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"503",2017-08-20,"hillcrest, california","racism; religion","general protestors","Rally against hate, racism, anti-semitism",0,200,200,200,6073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"529",2017-08-22,"laurens, north carolina","racism","general protestors","Protesting confederate statue",1,NA,NA,NA,37183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"530",2017-08-22,"laurens, north carolina","racism","Sons of Confederate Veterans","Defending confederate monument",1,NA,NA,NA,37183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"538",2017-08-24,"bustleton, pennsylvania","policing; racism","Black Lives Matter","Protesting police officer who shot unarmed black man",0,10,10,10,42101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"569",2017-08-27,"crenshaw county, alabama","racism","Sons of Confederate Veterans","Rally for new confederate monument",0,200,200,200,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"630",2017-09-18,"belleville, missouri","policing; racism","Junior Commanches youth football team","against acquittal of ex-police officer Jason Stockley, against police brutality, against racism",0,8,8,8,29097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
