"","date.x","City","issues","actors","claims","valence","size_low","size_high","size_mean","fips_code","GEOID","population","BlackPop","BlackPov","Bachelors","Pop25Plus","Masters","ProfDegree","Doctorate","CollegeStudents","name","age","gender","race","date.y","cause_of_death","wapo_armed","wapo_threat_level","officer_known_past_shootings","year","mappingPreGF","mappingPostGF","mappingBlackOnlyPreGF","mappingBlackOnlyPostGF"
"1",2017-01-04,"ypsilanti, michigan","education; racism","EMU's NAACP Chapter, EMU students","against racial incidents on campus, for pressuring university administration to do something, against racism",1,100,300,200,26161,"2689140",20828,5868,5205,2243,9699,1471,156,325,6641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2017-01-16,"whitefish, montana","racism","Industrial Workers of the World - Missoula; Queer Insurrection Unit","against white supremacy, against neo-Nazis, for solidarity with Whitefish community, you can't scare us, an injury to one is an injury to all",1,50,50,50,30029,"3079825",7714,1,1,2169,5852,598,317,94,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2017-01-16,"orange, texas","racism","Repurpose","for repurposing Confederate Memorial of the Wind, against white supremacy",1,NA,NA,NA,48361,"4854132",18762,6023,5935,1732,13119,335,83,68,883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",2017-01-26,"iowa, iowa","racism","general protesters","against racial injustice; against racism",1,20,40,30,19103,"1938595",74950,6203,5887,11120,39626,6628,2498,3175,20646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",2017-02-07,"annville, pennsylvania","education; racism","Lebanon Valley College Students","Against racial slurs on campus; against racism",0,50,50,50,42075,"4202608",4973,106,28,356,2507,274,15,24,1652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"664",2017-02-20,"athens, ohio","racism","SURJ","pro-racial justice",1,100,100,100,39009,"3902736",24984,1396,745,1883,7459,1878,146,1066,14558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"690",2017-02-24,"lake oswego, oregon","presidency; racism","General Protest","protest racist posts; anti-Trump",1,4,4,4,41005,"4140550",39127,405,399,11806,28620,5556,2197,875,1267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"691",2017-02-25,"skowhegan, maine","racism","general protestors","against Ku Klux Klan",0,20,20,20,23025,"2368875",6313,23,23,501,4618,137,9,17,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"708",2017-02-26,"bethlehem, pennsylvania","policing; racism","general protestors","fifth anniversary of the killing of Trayvon Martin; Black lives matter; against policce brutality",1,100,100,100,42095,"4206088",75461,6323,5897,8765,49881,3894,1027,880,8379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"710",2017-03-02,"plainview, new york","racism","General Protest","United Against Hate",1,200,200,200,36059,"3658442",26453,129,111,6206,18622,4192,1281,355,1126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"718",2017-03-04,"lake oswego, oregon","patriotism; policing; presidency; racism; religion","Patriot Prayer","for President Trump, for patriotism, for police, for white supremacy, for antisemitism",2,200,387,294,41005,"4140550",39127,405,399,11806,28620,5556,2197,875,1267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"719",2017-03-04,"lake oswego, oregon","democracy; presidency; racism","General protestors","against President Trump, against white supremacy and fascism",1,20,30,25,41005,"4140550",39127,405,399,11806,28620,5556,2197,875,1267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"723",2017-03-05,"pelham, new york","education; lgbtqia; policing; racism","Alliance for Education quality","Education reformation; pro-police; pro-Black Lives Matter; pro-LGBTQ",0,100,100,100,36119,"3657001",6941,760,760,1153,4585,876,376,153,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
